name,instructions,url,source
Margarita,"<strong>Prep the glass:</strong> If you would like to garnish the rim of the glass, run a lime wedge around the rim, then dip the rim in salt or Tajin. <br /><br /><strong>Combine the ingredients:</strong> Combine the tequila, lime juice, triple sec, and agave nectar in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into prepped glass and garnish with a lime slice.",https://images.unsplash.com/photo-1573957065303-110b23048d68?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,https://unsplash.com/s/photos/margarita?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText
Old Fashioned,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine ingredients:</strong> After a few minutes, toss out the ice in the glass and pour in the whiskey, simple syrup, and bitters. Add a large cube of ice or a few ice cubes and stir to dilute the mixture slightly. <br /><br /><strong>Garnish and serve:</strong> Twist the orange peel to release the oils and flavors. Add the orange peel and a marschino cherry for garnish and serve.",https://images.pexels.com/photos/376473/pexels-photo-376473.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,https://www.pexels.com/photo/cocktail-drink-glass-old-fashioned-376473/?utm_content=attributionCopyText&utm_medium=referral&utm_source=pexels
Cosmopolitan,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine the ingredients:</strong> Combine the vodka, lime juice, triple sec, and cranberry juice in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Toss out the ice in the prepped glass and strain the drink into it. Twist the orange peel to release the oils and flavors. Add the orange peel for garnish and serve.",https://live.staticflickr.com/4012/5076906532_b9b034dfbe_b.jpg,https://www.flickr.com/photos/preppybyday/5076906532
Negroni,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine ingredients:</strong> After a few minutes, toss out the ice in the glass and pour in the gin, Campari, and sweet vermouth. Add a large cube of ice or a few ice cubes and stir to dilute the mixture slightly. <br /><br /><strong>Garnish and serve:</strong> Twist the orange peel to release the oils and flavors. Add the orange peel and a marschino cherry for garnish and serve.",https://images.unsplash.com/photo-1582457601528-5f8757143fb1?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=802&q=80,https://unsplash.com/s/photos/negroni?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText
Moscow Mule,<strong>Combine the ingredients:</strong> Combine the vodka and lime juice in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into glass and top with ginger beer. Stir and serve. Garnish with lime wedge or some mint.,https://images.unsplash.com/photo-1527628126150-086ff233b951?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=1500&q=80,https://unsplash.com/s/photos/moscow-mule?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText
Martini,<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine the ingredients:</strong> Combine the gin and dry vermouth in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Toss out the ice in the prepped glass and strain the drink into it and garnish with an olive.,https://images.unsplash.com/photo-1575023782549-62ca0d244b39?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=668&q=80,https://unsplash.com/s/photos/martini?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText
Mojito,"<strong>Combine the ingredients:</strong> Combine the mint, lime juice, and simple syrup in a cocktail shaker.  Then use a cocktail muddler to gently muddle the mint a bit to release the flavors. Then add the rum. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into glass and top with club soda. Stir and serve. Garnish with lime wedge and some mint.",https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?ixlib=rb-1.2.1&auto=format&fit=crop&w=800&q=60,https://unsplash.com/s/photos/mojito?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText
Whiskey Sour,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine the ingredients:</strong> Combine the bourbon, lemon juice, simple syrup, and egg white in a cocktail shaker. <br /><br /><strong>Dry shake!:</strong> Seal the shaker and shake vigorously for 10 seconds without ice. <br /><br /><strong>Shake again!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Toss out the ice in the prepped glass and strain the drink into it and garnish with a maraschino cherry.",https://live.staticflickr.com/6195/6081573377_ee8ba8a704_b.jpg,https://www.flickr.com/photos/90447591@N00/6081573377
French 75,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine the ingredients:</strong> Combine the gin, lemon juice, and simple syrup in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Toss out the ice in the prepped glass, strain the drink into it, and top with champagne. Stir and serve. Twist the lemon peel to release the oils and flavors. Add the lemon peel for garnish and serve.",https://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg,https://www.thecocktaildb.com/drink.php?c=17197-French-75
Manhattan,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine the ingredients:</strong> Combine the rye whiskey, sweet vermouth, and bitters in a cocktail shaker. <br /><br /><strong>Stirred not shaken!:</strong>Add a few cubes of ice and stir for 20 seconds. <br /><br /><strong>Strain and serve:</strong> Toss out the ice in the prepped glass and strain the drink into it and garnish with a maraschino cherry.",https://live.staticflickr.com/3046/2888449574_c24e2002dc_b.jpg,https://www.flickr.com/photos/32426344@N00/2888449574
Spritz Veneziano (Aperol Spritz),"<strong>Combine the ingredients:</strong> Combine the prosecco, aperol, and club soda in a glass. <br /><br /><strong>Stirred not shaken!:</strong>Add ice and stir for 20 seconds. <br /><br /><strong>Garnish and serve:</strong> Add an orange slice for garnish and serve.",https://images.unsplash.com/photo-1585975776023-29a0dbc51407?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,https://unsplash.com/s/photos/aperol-spritz?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText
Gimlet,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine the ingredients:</strong> Combine the gin, lime juice, and simple syrup in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Toss out the ice in the prepped glass and strain the drink into it and garnish with a lime slice.",https://www.thespruceeats.com/thmb/3SWSO9yCesdoRJ8Wvd8TmcH0AhU=/1500x844/smart/filters:no_upscale()/gimlet-cocktail-recipe-759304-9-5b3fa116c9e77c0037dac66d.jpg,https://www.thespruceeats.com/gimlet-cocktail-recipe-759304
