name,Ingredients needed,amount
Margarita,"tequila blanco, Triple Sec/Cointreau (orange liqueur), lime juice, agave nectar, lime slice, salt (rim), Tajin","1.5 oz, .75 oz, .75 oz, .5 oz, 0 garnish, 0 garnish, 0 garnish"
Old Fashioned,"bourbon, Angostura bitters, simple syrup, orange peel, maraschino cherry","2 oz, 2 dashes, .5 oz, 0 garnish, 0 garnish"
Cosmopolitan,"vodka, Triple Sec/Cointreau (orange liqueur), lime juice, cranberry juice, orange peel","1.5 oz, .5 oz, .75 oz, .5 oz, 0 garnish"
Negroni,"gin, Campari, sweet vermouth, orange peel, maraschino cherry","1 oz, 1 oz, 1 oz, 0 garnish, 0 garnish"
Moscow Mule,"vodka, lime juice, ginger beer, lime wedge, sprig of mint","2 oz, .75 oz. 3 oz, 0 garnish, 0 garnish"
Martini,"gin, dry vermouth, olives","3 oz, .5 oz, 0 garnish"
Mojito,"light rum, lime juice, simple syrup, club soda, bunch of mint, lime wedge","2 oz, .75 oz, .5 oz, 3 oz, 1 garnish, 0 garnish"
Whiskey Sour,"bourbon, lemon juice, simple syrup, egg white, maraschino cherry","2 oz, .75 oz, .5 oz, 1 garnish, 0 garnish"
French 75,"gin, lemon juice, simple syrup, champagne, lemon peel","1.5 oz, .75 oz, .5 oz, 3 oz, 0 garnish"
Manhattan,"rye whiskey, sweet vermouth, Angostura bitters, maraschino cherry","2 oz, 1 oz, 2 dashes, 0 garnish"
Spritz Veneziano (Aperol Spritz),"prosecco, Aperol, club soda, orange slice","3 oz, 2 oz, 1 oz, 0 garnish"
Gimlet,"gin, lime juice, simple syrup, lime slice","2.5 oz, .5 oz, .5 oz, 0 garnish"
Sazerac,"rye whiskey, absinthe, Peychaud's bitters, sugar, lemon peel","1.5 oz, .5 oz, 3 dashes, 1 tsp, 0 garnish"
Pimm's Cup,"Pimm's No. 1 Cup, ginger ale, cucumber, strawberry, lemon, orange, sprig of mint","2 oz, 3 oz, 1, 3, 1, 1, 0 garnish"
Mimosa,"champagne, orange juice, orange slice","2.5 oz, 2.5 oz, 0 garnish"
Hurricane,"light rum, dark rum, passionfruit juice, orange juice, grenadine, lime juice, simple syrup, orange slice, maraschino cherry","2 oz, 2 oz, 2 oz, 1 oz, .5 oz, .5 oz, .5 oz, 0 garnish, 0 garnish"
White Russian,"vodka, Kahlua (coffee liqueur), heavy cream","2 oz, 1 oz, 1oz"
Rosita,"tequila reposado, sweet vermouth, dry vermouth, Campari, Angostura bitters","1.5 oz, .5 oz, .5 oz, .5 oz, 1 dash"
Gin Rickey,"gin, lime juice, soda water, lime slice","2 oz, .5 oz, 1 oz, 0 garnish"
Paloma,"tequila reposado, grapefruit juice, lime juice, agave nectar, grapefruit soda, grapefruit slice","1.5 oz, 3 oz, .75 oz, .5 oz, 2 oz, 0 garnish"
Sidecar,"brandy/cognac, lemon juice, Grand Marnier (orange brandy liqueur), orange peel","2 oz, .75 oz, .75 oz, 0 garnish"
Mint Julep,"bourbon, simple syrup, bunch of mint","3 oz, .5 oz, 1 garnish"
Daiquiri,"light rum, lime juice, simple syrup, lime wedge","1.5 oz, 1 oz, .5 oz, 0 garnish"
Dark 'N Stormy,"dark rum, ginger beer, lime wedge","1.5 oz, 3 oz, 0 garnish"
Cuba Libre,"light rum, coke, lime juice, Angostura bitters, lime wedge","1.5 oz, 3 oz, .5 oz, 1 dash, 0 garnish"
Caipirinha,"cachaça, brown sugar, lime","3 oz, 2 tsp, 1 garnish"
Tom Collins,"gin, lemon juice, simple syrup, club soda, lemon wedge","1.5 oz,  .75 oz, .5 oz, 2 oz, 0 garnish"
