cocktailid,ingredientid
1,15
1,34
1,91
1,121
1,144
1,113
1,148
2,5
2,83
2,123
2,142
2,155
3,21
3,34
3,91
3,87
3,142
4,14
4,41
4,63
4,142
4,155
5,21
5,91
5,102
5,136
5,153
6,14
6,62
6,151
7,7
7,91
7,123
7,99
7,116
7,136
8,5
8,92
8,123
8,118
8,155
9,14
9,92
9,123
9,58
9,141
10,3
10,63
10,83
10,155
11,64
11,42
11,99
11,145
12,14
12,91
12,123
12,144
13,3
13,22
13,84
13,108
13,141
14,51
14,101
14,134
14,131
14,127
14,129
14,153
15,58
15,88
15,145
16,7
16,9
16,95
16,88
16,85
16,91
16,123
16,145
16,155
17,21
17,23
17,159
18,16
18,63
18,62
18,41
18,83
19,14
19,91
19,105
19,144
20,16
20,89
20,91
20,121
20,90
20,143
21,1
21,92
21,32
21,142
22,5
22,123
22,116
23,7
23,91
23,123
23,136
24,9
24,102
24,136
25,7
25,98
25,91
25,83
25,136
26,13
26,109
26,128
27,14
27,92
27,123
27,99
27,137
28,21
28,7
28,15
28,14
28,34
28,123
28,92
28,98
28,137
29,14
29,92
29,123
29,118
29,99
29,160
30,14
30,92
30,123
30,30
30,133
31,9
31,45
31,125
31,91
31,146
31,155
32,39
32,123
32,92
32,145
32,155
33,5
33,108
33,127
33,116
34,15
34,88
34,85
35,26
35,28
35,159
35,161
36,9
36,94
36,88
36,97
36,146
36,157
37,21
37,25
37,43
37,88
37,87
38,7
38,46
38,94
38,97
38,146
38,155
39,14
39,92
39,122
39,141
40,41
40,63
40,99
40,142
41,14
41,22
41,34
41,52
41,92
42,120
42,21
42,23
42,28
42,161
43,7
43,9
43,45
43,88
43,95
43,92
43,91
43,85
43,83
43,131
43,153
44,7
44,34
44,91
44,53
45,7
45,10
45,27
45,25
45,88
45,94
45,91
45,85
46,21
46,7
46,46
46,94
46,86
46,146
47,7
47,97
47,94
47,91
47,146
48,21
48,88
48,138
49,4
49,109
49,120
49,158
50,64
50,162
50,147
51,43
51,88
51,145
